candidate_id,name,email,phone,linkedin_url,portfolio_url,location_city,location_state,location_country,relocation_willingness,remote_preference,availability_status,total_experience_years,education_level,degrees,institutions,languages_spoken,primary_industry,sub_industries,skills_extracted,tools_and_technologies,certifications,top_titles_mentioned,domains_of_expertise,employment_history,semantic_summary,keywords_summary,career_stage,genai_relevance_score,medical_domain_score,construction_domain_score,cad_relevance_score,nlp_relevance_score,computer_vision_relevance_score,data_engineering_relevance_score,mlops_relevance_score,evidence_skills,evidence_domains,evidence_certifications,evidence_tools,source_channel,hiring_manager_notes,interview_feedback,offer_status,assigned_recruiter,resume_embedding_version,last_updated
CID0001,Casey Smith,casey.smith760@yahoo.com,(450) 428-3286,https://www.linkedin.com/in/caseysmith8936,https://github.com/casey99,San Francisco,CA,USA,Unknown,Unknown,Open,0.4,Master,['M.S. Computer Science'],['Osmania University'],"['English', 'German', 'French']",Manufacturing,['Robotics'],"['CI/CD', 'Matplotlib', 'Python', 'GraphQL', 'Java', 'CAD', 'Epic', 'Django', 'TensorFlow', 'FHIR']","['Milvus', 'dbt', 'AWS', 'Vertex AI', 'Redis']",[],"['Full-Stack Developer', 'Backend Engineer']","['MLOps', 'Software Engineering']",[],"Casey Smith has about 0.4 years of experience across MLOps, Software Engineering, working with CI/CD, Matplotlib, Python, GraphQL and tools like Milvus, dbt, AWS.","['de-identification', 'vector search', 'DevOps CI/CD', 'AutoCAD automation']",Entry,0.19,0.26,0.17,0.21,0.01,0.07,0.09,0.83,"['Matplotlib in production', 'Used dbt', 'Built de-identification']","['Projects in Software Engineering', 'Industry: Manufacturing', 'Sub: Robotics']",[],"['Vertex AI', 'AWS']",Career Page,unknown,unknown,Rejected,unknown,unknown,2025-10-19
CID0002,Kai Miller,kai.miller687@yahoo.com,(918) 899-2169,https://www.linkedin.com/in/kaimiller8752,https://github.com/kai756,Raleigh,NC,USA,Yes,Hybrid,Notice (30 days),5.7,Unknown,['B.Eng. Civil Engineering'],['Northwestern University'],['English'],Technology,"['DevOps', 'AI']","['Go', 'ETL', 'Plotly', 'Epic', 'TensorFlow', 'AutoCAD', 'HIPAA', 'FastAPI', 'React']","['MongoDB', 'GCP', 'Snowflake', 'SageMaker', 'PostgreSQL', 'Kafka', 'OpenAI API', 'Elasticsearch', 'HuggingFace']","['Azure Fundamentals', 'GCP Professional Data Engineer', 'AWS Developer']",['Civil Engineer'],"['NLP', 'GenAI', 'Unknown', 'Computer Vision', 'CAD']",[],"Kai Miller has about 5.7 years of experience across NLP, GenAI, Unknown, working with Go, ETL, Plotly, Epic and tools like MongoDB, GCP, Snowflake.","['Realtime inference', 'predictive modeling', 'de-identification', 'GraphQL APIs', 'vector search']",Mid,0.73,0.17,0.28,0.6,0.81,0.63,0.2,0.03,"['React in production', 'Used PostgreSQL', 'Built de-identification']","['Projects in NLP', 'Industry: Technology', 'Sub: AI']","['Azure Fundamentals', 'GCP Professional Data Engineer', 'AWS Developer']","['OpenAI API', 'Snowflake']",Agency,unknown,unknown,In pipeline,unknown,unknown,2025-10-19
CID0003,Quinn Taylor,quinn.taylor781@outlook.com,(719) 308-5889,https://www.linkedin.com/in/quinntaylor2505,https://github.com/quinn392,Boston,MA,USA,Yes,Remote,Unknown,4.9,PhD,['B.Eng. Civil Engineering'],"['Northwestern University', 'MIT']",['English'],Logistics,['Fleet'],"['Power BI', 'SQL', 'GraphQL', 'Docker', 'Plotly', 'GenAI', 'CI/CD', 'EHR', 'FastAPI', 'Matplotlib', 'CAD', 'FHIR', 'Kubernetes']","['BigQuery', 'Elasticsearch', 'Milvus', 'OpenAI API', 'Airflow', 'HuggingFace', 'dbt', 'SageMaker', 'Azure', 'PostgreSQL']","['AWS Developer', 'CKA', 'Azure Fundamentals']",['Full-Stack Developer'],"['Security', 'Software Engineering']",[],"Quinn Taylor has about 4.9 years of experience across Security, Software Engineering, working with Power BI, SQL, GraphQL, Docker and tools like BigQuery, Elasticsearch, Milvus.","['GraphQL APIs', 'Kubernetes ops', 'FHIR integration', 'vector search', 'predictive modeling']",Mid,0.07,0.27,0.26,0.02,0.07,0.2,0.06,0.04,"['Matplotlib in production', 'Used PostgreSQL', 'Built vector search']","['Projects in Security', 'Industry: Logistics', 'Sub: Fleet']","['AWS Developer', 'CKA', 'Azure Fundamentals']","['dbt', 'OpenAI API']",LinkedIn,unknown,unknown,In pipeline,unknown,unknown,2025-10-19
CID0004,Rowan Lopez,rowan.lopez434@proton.me,(678) 946-1887,https://www.linkedin.com/in/rowanlopez994,https://github.com/rowan422,San Francisco,CA,USA,Unknown,Onsite,Open,3.7,Master,"['B.E. Computer Science', 'M.S. Data Science']",['UC Berkeley'],"['English', 'Hindi']",Construction,"['BIM', 'Civil Engineering']","['HIPAA', 'Docker', 'Power BI', 'Python', 'SQL', 'GraphQL']","['PostgreSQL', 'Azure', 'Elasticsearch', 'Spark', 'HuggingFace', 'AWS', 'OpenAI API', 'Milvus', 'LangChain', 'Vertex AI']","['AWS Solutions Architect', 'TensorFlow Developer', 'GCP Professional Data Engineer']","['Backend Engineer', 'Data Engineer']","['Computer Vision', 'Healthcare IT', 'Construction', 'Security', 'GenAI']",[],"Rowan Lopez has about 3.7 years of experience across Computer Vision, Healthcare IT, Construction, working with HIPAA, Docker, Power BI, Python and tools like PostgreSQL, Azure, Elasticsearch.","['time-series forecasting', 'RAG pipeline', 'FHIR integration', 'predictive modeling']",Mid,0.8,0.88,0.56,0.29,0.02,0.65,0.06,0.18,"['GraphQL in production', 'Used Spark', 'Built predictive modeling']","['Projects in Computer Vision', 'Industry: Construction', 'Sub: BIM']","['AWS Solutions Architect', 'TensorFlow Developer', 'GCP Professional Data Engineer']","['Vertex AI', 'Vertex AI']",LinkedIn,unknown,unknown,Unknown,unknown,unknown,2025-10-19
CID0005,Taylor Wilson,taylor.wilson674@icloud.com,(778) 735-6183,https://www.linkedin.com/in/taylorwilson3347,https://github.com/taylor695,Denver,CO,USA,Unknown,Onsite,Employed,4.0,Master,"['MBA', 'B.E. Computer Science']",['MIT'],"['English', 'French']",Logistics,['Fleet'],"['AutoCAD', 'Kubernetes', 'FHIR', 'GenAI', 'PyTorch', 'SQL', 'Revit', 'Power BI', 'HL7', 'CAD', 'Flask', 'Docker', 'Epic', 'Go']","['OpenAI API', 'Airflow', 'AWS', 'GCP']","['AWS Developer', 'AWS Solutions Architect']","['Civil Engineer', 'Software Engineer', 'Backend Engineer']","['Security', 'Healthcare IT', 'CAD', 'Unknown']",[],"Taylor Wilson has about 4.0 years of experience across Security, Healthcare IT, CAD, working with AutoCAD, Kubernetes, FHIR, GenAI and tools like OpenAI API, Airflow, AWS.","['DevOps CI/CD', 'EHR analytics', 'AutoCAD automation', 'FHIR integration', 'vector search', 'de-identification']",Mid,0.1,0.87,0.04,0.52,0.29,0.05,0.13,0.21,"['HL7 in production', 'Used OpenAI API', 'Built DevOps CI/CD']","['Projects in Security', 'Industry: Logistics', 'Sub: Fleet']","['AWS Developer', 'AWS Solutions Architect']","['OpenAI API', 'AWS']",Other,unknown,unknown,Unknown,unknown,unknown,2025-10-19
CID0006,Riley Wilson,riley.wilson131@gmail.com,(515) 573-1653,https://www.linkedin.com/in/rileywilson3442,https://github.com/riley708,Madison,WI,USA,Yes,Remote,Notice (14 days),11.7,Diploma,['M.S. Data Science'],['Governors State University'],['English'],Manufacturing,['Plant Ops'],"['CI/CD', 'Go', 'Django', 'Java', 'EHR', 'Cerner', 'Revit', 'FHIR', 'CAD', 'NLP', 'React']","['LangGraph', 'Spark', 'PostgreSQL', 'Milvus', 'MongoDB', 'Azure', 'GCP', 'Redis', 'AWS', 'Kafka']",[],"['AI Engineer', 'Data Engineer', 'Full-Stack Developer']","['NLP', 'Construction', 'CAD', 'Data Engineering']",[],"Riley Wilson has about 11.7 years of experience across NLP, Construction, CAD, working with CI/CD, Go, Django, Java and tools like LangGraph, Spark, PostgreSQL.","['FHIR integration', 'vector search', 'AutoCAD automation', 'ETL pipelines', 'predictive modeling', 'Realtime inference']",Lead/Manager,0.18,0.15,0.67,0.79,0.64,0.12,0.64,0.17,"['EHR in production', 'Used LangGraph', 'Built Realtime inference']","['Projects in Data Engineering', 'Industry: Manufacturing', 'Sub: Plant Ops']",[],"['AWS', 'AWS']",Unknown,unknown,unknown,Offered,unknown,unknown,2025-10-19
CID0007,Kai Wilson,kai.wilson72@yahoo.com,(838) 521-3041,https://www.linkedin.com/in/kaiwilson8309,https://github.com/kai326,Phoenix,AZ,USA,Unknown,Unknown,Notice (14 days),6.0,Bachelor,['M.S. Data Science'],"['UIUC', 'Georgia Tech']","['English', 'German', 'Hindi']",Logistics,"['Warehousing', 'Fleet']","['HL7', 'AutoCAD', 'Django', 'CI/CD', 'ETL', 'Data Warehousing', 'HIPAA', 'TensorFlow', 'Flask', 'Epic']","['Milvus', 'HuggingFace', 'Spark', 'Azure', 'Vertex AI', 'GCP', 'Snowflake']","['AWS Developer', 'Azure Fundamentals']",['Backend Engineer'],"['Healthcare IT', 'Computer Vision', 'GenAI']",[],"Kai Wilson has about 6.0 years of experience across Healthcare IT, Computer Vision, GenAI, working with HL7, AutoCAD, Django, CI/CD and tools like Milvus, HuggingFace, Spark.","['Kubernetes ops', 'EHR analytics', 'GraphQL APIs', 'vector search']",Senior,0.76,0.76,0.22,0.12,0.12,0.84,0.04,0.21,"['AutoCAD in production', 'Used Snowflake', 'Built vector search']","['Projects in Healthcare IT', 'Industry: Logistics', 'Sub: Warehousing']","['AWS Developer', 'Azure Fundamentals']","['Snowflake', 'GCP']",Other,unknown,unknown,Hired,unknown,unknown,2025-10-19
CID0008,Jordan Moore,jordan.moore256@gmail.com,(667) 336-8612,https://www.linkedin.com/in/jordanmoore7252,https://github.com/jordan637,Miami,FL,USA,Unknown,Unknown,Unknown,6.7,Master,"['MBA', 'B.E. Computer Science']",['UIUC'],"['English', 'French']",Government,['Civic Tech'],"['SQL', 'Epic', 'HL7', 'Revit', 'FHIR', 'TensorFlow', 'CI/CD', 'Docker', 'Java', 'GenAI', 'EHR', 'Matplotlib', 'React']","['GCP', 'Milvus', 'Vertex AI', 'Elasticsearch', 'HuggingFace', 'Azure', 'Snowflake', 'PostgreSQL', 'SageMaker']",[],['Data Engineer'],"['Security', 'GenAI', 'Data Engineering', 'MLOps', 'Unknown']",[],"Jordan Moore has about 6.7 years of experience across Security, GenAI, Data Engineering, working with SQL, Epic, HL7, Revit and tools like GCP, Milvus, Vertex AI.","['AutoCAD automation', 'de-identification', 'time-series forecasting', 'DevOps CI/CD', 'GraphQL APIs', 'Kubernetes ops']",Senior,0.77,0.12,0.2,0.24,0.22,0.25,0.62,0.69,"['HL7 in production', 'Used SageMaker', 'Built AutoCAD automation']","['Projects in MLOps', 'Industry: Government', 'Sub: Civic Tech']",[],"['Milvus', 'Snowflake']",Career Page,unknown,unknown,Hired,unknown,unknown,2025-10-19
CID0009,Morgan Johnson,morgan.johnson267@proton.me,(535) 416-8449,https://www.linkedin.com/in/morganjohnson5530,https://github.com/morgan789,Miami,FL,USA,No,Onsite,Notice (30 days),3.8,PhD,"['M.S. Computer Science', 'B.Eng. Civil Engineering']",['Carnegie Mellon University'],['English'],Construction,"['Civil Engineering', 'BIM', 'Architecture']","['Power BI', 'Python', 'Data Warehousing', 'GenAI', 'Revit', 'Matplotlib', 'FastAPI', 'EHR', 'NLP']","['Milvus', 'MongoDB', 'Snowflake', 'Kafka', 'Azure', 'Airflow', 'SageMaker', 'HuggingFace']",[],['Backend Engineer'],"['Security', 'GenAI']",[],"Morgan Johnson has about 3.8 years of experience across Security, GenAI, working with Power BI, Python, Data Warehousing, GenAI and tools like Milvus, MongoDB, Snowflake.","['GraphQL APIs', 'predictive modeling', 'de-identification', 'time-series forecasting', 'Kubernetes ops', 'vector search']",Mid,0.81,0.25,0.07,0.21,0.09,0.21,0.24,0.24,"['Power BI in production', 'Used Airflow', 'Built Kubernetes ops']","['Projects in GenAI', 'Industry: Construction', 'Sub: Architecture']",[],"['Airflow', 'MongoDB']",Other,unknown,unknown,Rejected,unknown,unknown,2025-10-19
CID0010,Alex Wilson,alex.wilson843@proton.me,(308) 643-6934,https://www.linkedin.com/in/alexwilson2507,https://github.com/alex455,San Diego,CA,USA,Yes,Onsite,Unknown,12.1,HighSchool,"['MBA', 'M.S. Data Science']","['Carnegie Mellon University', 'Northwestern University']",['English'],Education,"['EdTech', 'Research']","['TensorFlow', 'Python', 'FastAPI', 'Matplotlib', 'Java', 'CAD', 'Plotly', 'AutoCAD', 'PyTorch', 'FHIR', 'Power BI', 'EHR']","['Snowflake', 'OpenAI API', 'LangChain', 'HuggingFace', 'Milvus', 'LangGraph', 'AWS', 'Kafka']","['CKA', 'PMP', 'AWS Developer']","['MLOps Engineer', 'DevOps Engineer', 'Civil Engineer']","['NLP', 'Construction']",[],"Alex Wilson has about 12.1 years of experience across NLP, Construction, working with TensorFlow, Python, FastAPI, Matplotlib and tools like Snowflake, OpenAI API, LangChain.","['de-identification', 'time-series forecasting', 'Kubernetes ops', 'AutoCAD automation', 'RAG pipeline']",Lead/Manager,0.13,0.22,0.71,0.1,0.77,0.21,0.08,0.08,"['Python in production', 'Used HuggingFace', 'Built Kubernetes ops']","['Projects in NLP', 'Industry: Education', 'Sub: EdTech']","['CKA', 'PMP', 'AWS Developer']","['HuggingFace', 'HuggingFace']",Unknown,unknown,unknown,Hired,unknown,unknown,2025-10-19
